,x,y,goal x,goal y,waypoint,current distance,angular velocity,heading,yaw,goal angle
0,967568.8763766293,1935246.3323672335,967568.8241,1935246.327,0,0.05,-0.8108212237793845,-3.069,0.02982821651080399,-3.039281295256456
1,967568.8763766293,1935246.3323672335,967572.4631,1935248.799,1,4.35,0.151384998770149,0.573,0.02982821651080462,0.6024313015486302
2,967568.9133913805,1935246.3416984535,967572.4631,1935248.799,1,4.32,0.1463652518650308,0.554,0.05125707821739501,0.6055086629982867
3,967568.9655704615,1935246.3567786,967572.4631,1935248.799,1,4.27,0.13658995526032647,0.517,0.09265112459007882,0.6095642251916702
4,967569.0246134733,1935246.3757667956,967572.4631,1935248.799,1,4.21,0.12681465865562214,0.48,0.13433384594892603,0.6138989683074839
5,967569.0722848942,1935246.392254967,967572.4631,1935248.799,1,4.16,0.11915293969517837,0.451,0.1658544949686584,0.6172620193947577
6,967569.1295198015,1935246.4136553109,967572.4631,1935248.799,1,4.1,0.11096282632366938,0.42,0.20132140763916315,0.6210864210688813
7,967569.1873714833,1935246.436560556,967572.4631,1935248.799,1,4.04,0.102508515746628,0.388,0.23726077348229824,0.6248097033789035
8,967569.2426835569,1935246.4599135409,967572.4631,1935248.799,1,3.98,0.09511099399171663,0.36,0.2677774019058591,0.62817969662521
9,967569.303779817,1935246.478339461,967572.4631,1935248.799,1,3.92,0.09537519119724924,0.361,0.2726643125560971,0.6335358395153257
10,967569.3630796048,1935246.4946162023,967572.4631,1935248.799,1,3.86,0.09669617722491186,0.366,0.2728491080178682,0.6392281063212089
11,967569.42325939,1935246.511196813,967572.4631,1935248.799,1,3.8,0.0982813604581072,0.372,0.2727921330502695,0.645167053631508
12,967569.4876915272,1935246.5289893583,967572.4631,1935248.799,1,3.74,0.10013074089683505,0.379,0.27279905359896905,0.6517213113970836
13,967569.5476966106,1935246.55270696,967572.4631,1935248.799,1,3.68,0.09616778281384686,0.364,0.2924915433163215,0.6564870958501547
14,967569.6128001101,1935246.574324166,967572.4631,1935248.799,1,3.62,0.09590358560831425,0.363,0.29991587522289237,0.6627407426831622
15,967569.6791739548,1935246.5947258882,967572.4631,1935248.799,1,3.55,0.09748876884150948,0.369,0.30055555482402746,0.6697123970138863
16,967569.7427867481,1935246.6141530182,967572.4631,1935248.799,1,3.49,0.09933814928023743,0.376,0.3004911099631125,0.6766648461123557
17,967569.8106191996,1935246.6349288553,967572.4631,1935248.799,1,3.42,0.10145172692449766,0.384,0.30048526854129515,0.6843412454770059
18,967569.8694896942,1935246.6609167678,967572.4631,1935248.799,1,3.36,0.09696037443044447,0.367,0.3220968214096573,0.6894224752699851
19,967569.9341559334,1935246.6831677605,967572.4631,1935248.799,1,3.3,0.0980171632525747,0.371,0.3259567919749292,0.6966904130849626
20,967569.9996828462,1935246.7050205574,967572.4631,1935248.799,1,3.23,0.09986654369130243,0.378,0.32610273766123016,0.7045117066422185
21,967570.0656958811,1935246.7270031439,967572.4631,1935248.799,1,3.17,0.10224431854109539,0.387,0.326029755128589,0.7127186042481634
22,967570.1332181406,1935246.7576751225,967572.4631,1935248.799,1,3.1,0.09854555766363982,0.373,0.3467092202363951,0.719480685594388
