,timeline,x,y
0,20:28:27,967472.8990349871,1935268.3857407286
1,20:28:27,967472.8970434939,1935268.3881728365
2,20:28:27,967472.7848298753,1935268.5274567432
3,20:28:28,967472.5421001373,1935268.8287236716
4,20:28:28,967472.166889889,1935269.294619743
5,20:28:28,967471.7085393906,1935269.8636791708
6,20:28:29,967471.2803838458,1935270.3951637088
7,20:28:29,967470.8012714626,1935270.989995272
8,20:28:29,967470.3990807311,1935271.5253564764
9,20:28:30,967469.9770851954,1935272.1528300936
10,20:28:30,967469.5899509316,1935272.7332758484
11,20:28:31,967469.2510494346,1935273.3639266174
12,20:28:31,967468.9919563706,1935273.9454278671
13,20:28:31,967468.7329053795,1935274.687109109
14,20:28:32,967468.5607948485,1935275.3054200609
15,20:28:32,967468.3751939787,1935275.9852872733
16,20:28:32,967468.1847317651,1935276.6313004887
17,20:28:33,967468.0689639882,1935277.321273387
18,20:28:33,967467.9645341414,1935277.9986195597
19,20:28:33,967467.8952568064,1935278.6987687575
20,20:28:34,967467.8308558011,1935279.4222532467
21,20:28:34,967467.7729697955,1935280.1006764243
22,20:28:34,967467.7485238336,1935280.7714932307
23,20:28:35,967467.717240699,1935281.5363300303
24,20:28:35,967467.7019075804,1935282.2116170332
25,20:28:35,967467.7352080176,1935282.919609301
26,20:28:36,967467.7637924837,1935283.6440028248
27,20:28:36,967467.7939553119,1935284.4072248666
28,20:28:37,967467.8209448569,1935285.0899977698
29,20:28:37,967467.8511078043,1935285.8532121882
30,20:28:37,967467.8796830162,1935286.5762706685
31,20:28:38,967467.9082579819,1935287.2993444062
32,20:28:38,967467.9368327035,1935288.022433392
33,20:28:38,967467.9622325636,1935288.6651723746
34,20:28:39,967468.0019920769,1935289.4216439885
35,20:28:39,967468.1285498141,1935290.048350832
36,20:28:39,967468.3588279389,1935290.6954516708
37,20:28:40,967468.6438392657,1935291.3505259496
38,20:28:40,967468.9094438753,1935292.013338598
39,20:28:40,967469.1623556528,1935292.6780620122
40,20:28:41,967469.3722309088,1935293.17898383
41,20:28:41,967469.5199410252,1935293.7515716723
42,20:28:42,967469.6712856613,1935294.2971152945
43,20:28:42,967469.8112143002,1935294.9138213005
44,20:28:42,967470.0763413174,1935295.516586754
45,20:28:43,967470.4832971235,1935296.0248660503
46,20:28:43,967470.9842446952,1935296.3770185534
47,20:28:43,967471.6299983083,1935296.5876068515
48,20:28:44,967472.2134592397,1935296.6231025823
49,20:28:44,967472.9261455833,1935296.5508294713
50,20:28:44,967473.674853944,1935296.4793360948
51,20:28:45,967474.3936059154,1935296.4304401006
52,20:28:45,967475.1018114743,1935296.4249317152
53,20:28:45,967475.7362288191,1935296.4354184987
54,20:28:46,967476.538872023,1935296.462246548
55,20:28:46,967477.2615022192,1935296.4859388778
56,20:28:47,967477.9836210283,1935296.5110876334
57,20:28:47,967478.5908250336,1935296.5903340825
58,20:28:47,967479.3166543372,1935296.750320191
59,20:28:48,967479.8743674918,1935296.9368816318
60,20:28:48,967480.6376657936,1935297.246247737
61,20:28:48,967481.2453308845,1935297.5474825143
62,20:28:49,967481.8954310613,1935297.8874566937
63,20:28:49,967482.5856456878,1935298.216475359
64,20:28:49,967483.085387177,1935298.5638945936
65,20:28:50,967483.5980471368,1935299.0312402833
66,20:28:50,967484.1443053589,1935299.4887089932
67,20:28:50,967484.6925624484,1935299.8589991892
68,20:28:51,967485.2580104761,1935300.247641456
69,20:28:51,967485.8585510922,1935300.5938897163
70,20:28:52,967486.5726422658,1935300.8280232374
71,20:28:52,967487.1910523431,1935301.0197697682
72,20:28:52,967487.9192646543,1935301.2466070633
73,20:28:53,967488.5718781332,1935301.449867395
74,20:28:53,967489.3010318194,1935301.676986667
