,timeline,x,y
0,21:22:45,967510.1904,1935270.048
1,21:22:46,967510.1904,1935270.048
2,21:22:46,967510.2059,1935270.145
3,21:22:46,967510.288,1935270.261
4,21:22:47,967510.4064,1935270.341
5,21:22:47,967510.5907,1935270.465
6,21:22:47,967510.9097,1935270.736
7,21:22:48,967511.3011,1935270.933
8,21:22:48,967511.7099,1935271.006
9,21:22:49,967512.1938,1935271.028
10,21:22:49,967512.8809,1935271.006
11,21:22:49,967513.6546,1935270.888
12,21:22:50,967514.3125,1935270.84
13,21:22:50,967514.9935,1935270.814
14,21:22:50,967515.6741,1935270.789
15,21:22:51,967516.4667,1935270.799
16,21:22:51,967517.1509,1935270.804
17,21:22:51,967517.8343,1935270.81
18,21:22:52,967518.5981,1935270.816
19,21:22:52,967519.2817,1935270.822
20,21:22:52,967519.9652,1935270.827
21,21:22:53,967520.7694,1935270.834
22,21:22:53,967521.4127,1935270.839
23,21:22:54,967522.1767,1935270.845
24,21:22:54,967522.9407,1935270.851
25,21:22:54,967523.6243,1935270.857
26,21:22:55,967524.348,1935270.863
27,21:22:55,967525.0316,1935270.869
28,21:22:55,967525.7956,1935270.875
29,21:22:56,967526.4791,1935270.88
30,21:22:56,967527.2029,1935270.886
31,21:22:56,967527.9267,1935270.892
32,21:22:57,967528.6906,1935270.898
33,21:22:57,967529.334,1935270.904
34,21:22:57,967530.098,1935270.91
35,21:22:58,967530.8217,1935270.916
36,21:22:58,967531.5053,1935270.921
37,21:22:59,967532.2693,1935270.928
38,21:22:59,967532.9126,1935270.933
39,21:22:59,967533.6766,1935270.939
40,21:23:00,967534.4004,1935270.945
41,21:23:00,967535.1643,1935270.951
42,21:23:00,967535.8479,1935270.957
43,21:23:01,967536.5717,1935270.963
44,21:23:01,967537.2552,1935270.968
45,21:23:01,967537.9388,1935270.974
46,21:23:02,967538.7028,1935270.98
47,21:23:02,967539.4265,1935270.986
48,21:23:02,967540.1101,1935270.991
49,21:23:03,967540.9143,1935270.998
50,21:23:03,967541.5978,1935271.004
51,21:23:04,967542.3618,1935271.01
52,21:23:04,967543.0454,1935271.015
53,21:23:04,967543.7691,1935271.021
54,21:23:05,967544.4527,1935271.027
55,21:23:05,967545.1765,1935271.033
56,21:23:05,967545.9404,1935271.039
57,21:23:06,967546.7044,1935271.045
58,21:23:06,967547.388,1935271.051
59,21:23:06,967548.1117,1935271.057
60,21:23:07,967548.8757,1935271.063
61,21:23:07,967549.5191,1935271.068
62,21:23:08,967550.283,1935271.074
63,21:23:08,967551.047,1935271.081
64,21:23:08,967551.7306,1935271.086
65,21:23:09,967552.4544,1935271.092
66,21:23:09,967553.1781,1935271.098
67,21:23:09,967553.9019,1935271.104
68,21:23:10,967554.6659,1935271.11
69,21:23:10,967555.3896,1935271.116
70,21:23:10,967556.1134,1935271.122
71,21:23:11,967556.797,1935271.127
72,21:23:11,967557.4805,1935271.133
73,21:23:11,967558.2043,1935271.139
74,21:23:12,967558.8878,1935271.144
75,21:23:12,967559.6116,1935271.15
76,21:23:13,967560.2952,1935271.156
77,21:23:13,967561.0189,1935271.162
78,21:23:13,967561.7427,1935271.168
79,21:23:14,967562.5067,1935271.174
80,21:23:14,967563.1902,1935271.18
81,21:23:14,967563.914,1935271.185
82,21:23:15,967564.6378,1935271.191
83,21:23:15,967565.3213,1935271.197
84,21:23:15,967566.0853,1935271.203
85,21:23:16,967566.7522,1935271.182
86,21:23:16,967567.4401,1935271.022
87,21:23:16,967568.0855,1935270.821
88,21:23:17,967568.822,1935270.592
89,21:23:17,967569.5029,1935270.395
90,21:23:18,967570.0115,1935270.172
91,21:23:18,967570.5916,1935269.774
92,21:23:18,967571.0999,1935269.299
93,21:23:19,967571.4813,1935268.735
94,21:23:19,967571.8007,1935268.121
95,21:23:19,967572.1138,1935267.498
96,21:23:20,967572.2905,1935266.853
97,21:23:20,967572.4286,1935266.115
98,21:23:20,967572.4899,1935265.422
99,21:23:21,967572.4823,1935264.803
100,21:23:21,967572.476,1935264.036
101,21:23:21,967572.4705,1935263.313
102,21:23:22,967572.465,1935262.589
103,21:23:22,967572.4598,1935261.906
104,21:23:22,967572.4543,1935261.182
105,21:23:23,967572.452,1935260.541
106,21:23:23,967572.4855,1935259.79
107,21:23:24,967572.5145,1935259.065
108,21:23:24,967572.5437,1935258.342
109,21:23:24,967572.5728,1935257.619
110,21:23:25,967572.6035,1935256.856
111,21:23:25,967572.6293,1935256.213
112,21:23:25,967572.66,1935255.45
113,21:23:26,967572.6891,1935254.727
114,21:23:26,967572.7182,1935254.004
115,21:23:26,967572.7473,1935253.281
116,21:23:27,967572.7748,1935252.598
117,21:23:27,967572.8039,1935251.875
118,21:23:28,967572.8362,1935251.071
119,21:23:28,967572.8621,1935250.428
120,21:23:28,967572.8358,1935249.735
121,21:23:29,967572.6489,1935249.062
122,21:23:29,967572.3292,1935248.537
123,21:23:29,967571.881,1935248.118
124,21:23:30,967571.3339,1935247.679
125,21:23:30,967570.7036,1935247.279
126,21:23:30,967570.1299,1935246.99
127,21:23:31,967569.4751,1935246.689
,,,
,,,
,,,
,,,
