,timeline,x,y
0,20:29:46,967531.0255,1935304.687
1,20:29:46,967531.0255,1935304.687
2,20:29:47,967531.0328,1935304.652
3,20:29:47,967531.0908,1935304.378
4,20:29:47,967531.1816,1935303.947
5,20:29:48,967531.3343,1935303.224
6,20:29:48,967531.467,1935302.595
7,20:29:49,967531.625,1935301.848
8,20:29:49,967531.7663,1935301.179
9,20:29:49,967531.9077,1935300.51
10,20:29:50,967532.0657,1935299.763
11,20:29:50,967532.2154,1935299.055
12,20:29:50,967532.3484,1935298.426
13,20:29:51,967532.5091,1935297.663
14,20:29:51,967532.6084,1935297.015
15,20:29:51,967532.7515,1935296.301
16,20:29:52,967532.9229,1935295.536
17,20:29:52,967533.0577,1935294.87
18,20:29:52,967533.2151,1935294.132
19,20:29:53,967533.3268,1935293.327
20,20:29:53,967533.4987,1935292.525
21,20:29:54,967533.6158,1935291.878
22,20:29:54,967533.7334,1935291.17
23,20:29:54,967533.8495,1935290.384
24,20:29:55,967533.9099,1935289.752
25,20:29:55,967533.9834,1935289.031
26,20:29:55,967534.0566,1935288.311
27,20:29:56,967534.1296,1935287.591
28,20:29:56,967534.2026,1935286.871
29,20:29:56,967534.2675,1935286.231
30,20:29:57,967534.3486,1935285.432
31,20:29:57,967534.4175,1935284.752
32,20:29:57,967534.4905,1935284.032
33,20:29:58,967534.5634,1935283.312
34,20:29:58,967534.6324,1935282.632
35,20:29:58,967534.7013,1935281.952
36,20:29:59,967534.7783,1935281.193
37,20:29:59,967534.8391,1935280.593
38,20:30:00,967534.901,1935279.801
39,20:30:00,967534.9512,1935279.077
40,20:30:00,967534.9989,1935278.396
41,20:30:01,967535.0494,1935277.674
42,20:30:01,967535.0999,1935276.952
43,20:30:01,967535.1448,1935276.311
44,20:30:02,967535.1947,1935275.736
45,20:30:02,967535.2998,1935275.231
46,20:30:02,967535.4492,1935274.996
47,20:30:03,967535.622,1935274.662
48,20:30:03,967535.9089,1935274.269
49,20:30:03,967536.3379,1935273.755
50,20:30:04,967536.8093,1935273.388
51,20:30:04,967537.4142,1935273.041
52,20:30:05,967538.0928,1935272.71
53,20:30:05,967538.6314,1935272.51
54,20:30:05,967539.4147,1935272.327
55,20:30:06,967540.0455,1935272.23
56,20:30:06,967540.7588,1935272.112
57,20:30:06,967541.4731,1935271.994
58,20:30:07,967542.2264,1935271.869
59,20:30:07,967542.8608,1935271.764
60,20:30:07,967543.5348,1935271.652
61,20:30:08,967544.2088,1935271.541
62,20:30:08,967544.9621,1935271.416
63,20:30:08,967545.7551,1935271.285
64,20:30:09,967546.381,1935271.2
65,20:30:09,967547.0956,1935271.132
66,20:30:09,967547.7658,1935271.084
67,20:30:10,967548.4829,1935271.062
68,20:30:10,967549.188,1935271.079
69,20:30:11,967549.8742,1935271.098
70,20:30:11,967550.5969,1935271.117
71,20:30:11,967551.3203,1935271.137
72,20:30:12,967552.0439,1935271.156
73,20:30:12,967552.7272,1935271.174
74,20:30:12,967553.4106,1935271.193
75,20:30:13,967554.1743,1935271.213
76,20:30:13,967554.8577,1935271.232
77,20:30:13,967555.5812,1935271.251
78,20:30:14,967556.2244,1935271.269
79,20:30:14,967556.9479,1935271.288
80,20:30:14,967557.7117,1935271.309
81,20:30:15,967558.395,1935271.327
82,20:30:15,967559.1588,1935271.348
83,20:30:16,967559.8823,1935271.367
84,20:30:16,967560.6461,1935271.388
85,20:30:16,967561.2491,1935271.404
86,20:30:17,967562.053,1935271.426
87,20:30:17,967562.656,1935271.442
88,20:30:17,967563.4599,1935271.464
89,20:30:18,967564.1433,1935271.482
90,20:30:18,967564.8657,1935271.5
91,20:30:18,967565.5204,1935271.46
92,20:30:19,967566.2703,1935271.383
93,20:30:19,967566.9114,1935271.194
94,20:30:19,967567.4494,1935270.879
95,20:30:20,967568.0877,1935270.464
96,20:30:20,967568.662,1935270.096
97,20:30:20,967569.1753,1935269.736
98,20:30:21,967569.6776,1935269.229
99,20:30:21,967570.1755,1935268.7
100,20:30:22,967570.6412,1935268.168
101,20:30:22,967570.9626,1935267.598
102,20:30:22,967571.2235,1935266.945
103,20:30:23,967571.4715,1935266.341
104,20:30:23,967571.6257,1935265.74
105,20:30:23,967571.7518,1935265.004
106,20:30:24,967571.8754,1935264.369
107,20:30:24,967571.9923,1935263.667
108,20:30:24,967572.0709,1935262.917
109,20:30:25,967572.1338,1935262.244
110,20:30:25,967572.1652,1935261.491
111,20:30:25,967572.1956,1935260.848
112,20:30:26,967572.2315,1935260.085
113,20:30:26,967572.2655,1935259.362
114,20:30:26,967572.2977,1935258.68
115,20:30:27,967572.3317,1935257.957
116,20:30:27,967572.3657,1935257.234
117,20:30:28,967572.3998,1935256.511
118,20:30:28,967572.4319,1935255.829
119,20:30:28,967572.464,1935255.146
120,20:30:29,967572.4981,1935254.423
121,20:30:29,967572.534,1935253.66
122,20:30:29,967572.5642,1935253.018
123,20:30:30,967572.5983,1935252.295
124,20:30:30,967572.6342,1935251.532
125,20:30:30,967572.6682,1935250.809
126,20:30:31,967572.7004,1935250.127
127,20:30:31,967572.7329,1935249.405
128,20:30:31,967572.6905,1935248.721
129,20:30:32,967572.4952,1935248.09
130,20:30:32,967572.205,1935247.449
131,20:30:33,967571.9029,1935246.803
132,20:30:33,967571.5597,1935246.29
133,20:30:33,967571.0982,1935245.879
134,20:30:34,967570.553,1935245.548
135,20:30:34,967569.9964,1935245.389
136,20:30:34,967569.3889,1935245.392
137,20:30:35,967568.8428,1935245.558
,,,
,,,
,,,
,,,
