,X,Y
0,967401.0524885792,1935302.704303516
1,967401.538789774,1935302.1715179672
2,967401.9667601606,1935301.7799958636
3,967402.4702169852,1935301.32141365
4,967403.011928901,1935300.9398728244
5,967403.6948044936,1935300.501769057
6,967404.2671780554,1935300.179779836
7,967404.9121495388,1935299.9203519789
8,967405.6217796464,1935299.630015822
9,967406.2545085624,1935299.3710489608
10,967406.9244057344,1935299.1098594223
11,967407.5726991158,1935298.9445370743
12,967408.238248992,1935298.7570558083
13,967408.7904859713,1935298.4637244
14,967409.2850306424,1935297.9899884071
15,967409.6123531325,1935297.3947606124
16,967409.8763506932,1935296.7696981225
17,967410.2046152572,1935296.2187655757
18,967410.5276189852,1935295.6782147733
19,967411.031273505,1935295.32598454
20,967411.492041818,1935295.124241872
21,967412.0651261545,1935295.0009033552
22,967413.0694462603,1935294.4840885792
23,967413.5162595168,1935294.1068181111
24,967414.0768881452,1935293.6218766144
25,967414.6660453556,1935293.2959211948
26,967415.318407399,1935293.0916237992
27,967415.9795025697,1935292.9156355232
28,967416.7370795114,1935292.789232516
29,967417.4966014392,1935292.6805573285
30,967418.1720034938,1935292.5833037857
31,967418.8457856006,1935292.4919742409
32,967419.5280404772,1935292.48744078
33,967420.2906956486,1935292.5153634096
34,967420.9720302664,1935292.5379555323
35,967421.6956864148,1935292.562358338
36,967422.4799608052,1935292.619870888
37,967423.1604777584,1935292.688049864
38,967423.8797893252,1935292.759173308
39,967424.6000147988,1935292.8303875895
40,967425.3199659826,1935292.901582248
41,967425.999948688,1935292.968822101
42,967426.7999283462,1935293.047927814
43,967427.4799110554,1935293.115167674
44,967428.1434564528,1935293.1818710985
45,967428.8324973534,1935293.2416883167
46,967429.6112112284,1935293.3245667624
47,967430.2901629122,1935293.2688124052
48,967430.9477732016,1935293.072165521
49,967431.481077673,1935292.8449185544
50,967431.9243329378,1935292.533946916
51,967432.0911837084,1935291.985332741
52,967432.2898530384,1935291.425554628
53,967432.4928965846,1935290.213801482
54,967432.5833958352,1935289.50688878
55,967432.6181041492,1935288.8794783608
56,967432.666251426,1935288.115200132
57,967432.7092737992,1935287.4332221232
58,967432.7548270916,1935286.711115649
59,967432.7876158684,1935285.993504665
60,967432.8190685634,1935285.309969334
61,967432.8538595648,1935284.5471107452
62,967432.8867925511,1935283.824276916
63,967432.9178956056,1935283.1416208528
64,967432.9508278628,1935282.418832784
65,967432.981930548,1935281.7361996032
66,967432.9660991454,1935280.9563100224
67,967432.914224898,1935280.2478236533
68,967432.7627468428,1935279.6263722556
69,967432.5804189576,1935278.922703613
70,967432.3908078666,1935278.1839829567
71,967432.220814872,1935277.5219458167
72,967432.0408525874,1935276.8210914363
73,967431.8607936864,1935276.1205558912
74,967431.652153268,1935275.4425023263
75,967431.4293909272,1935274.7641322832
76,967431.2375256752,1935274.291438588
77,967430.9752966356,1935273.795983608
78,967430.3594973407,1935273.26985422
79,967429.9283641794,1935272.974955547
80,967429.4254906138,1935272.6192101997
81,967428.8692815326,1935272.1409266256
82,967428.2012084085,1935271.7129372333
83,967427.6372394884,1935271.4364037295
84,967426.9582084322,1935271.1274417515
85,967426.3394064988,1935270.900920884
86,967425.6232668142,1935270.8241346849
87,967425.0253826767,1935270.9011045776
88,967424.2789852904,1935271.013329921
89,967423.5772833471,1935271.0894318249
90,967422.9075703432,1935271.137926653
91,967422.1489626088,1935271.173883968
92,967421.4394088946,1935271.1759230972
93,967420.7134909012,1935271.1766717967
94,967420.0304371786,1935271.1777218643
95,967419.3209424472,1935271.1530717504
96,967418.5964657796,1935271.1188845169
97,967417.8425922072,1935271.1009037304
98,967417.11759047,1935271.090103055
99,967416.3543433351,1935271.0782736535
100,967415.7111006032,1935271.0682642048
101,967414.9874485824,1935271.0570120965
102,967414.2235614756,1935271.045134359
103,967413.5400835382,1935271.034506908
