,X,Y
0,967510.1904,1935270.048
1,967510.5907,1935270.465
2,967511.3011,1935270.933
3,967512.1938,1935271.028
4,967512.8809,1935271.006
5,967513.6546,1935270.888
6,967514.3125,1935270.84
7,967514.9935,1935270.814
8,967515.6741,1935270.789
9,967516.4667,1935270.799
10,967517.1509,1935270.804
11,967517.8343,1935270.81
12,967518.5981,1935270.816
13,967519.2817,1935270.822
14,967519.9652,1935270.827
15,967520.7694,1935270.834
16,967521.4127,1935270.839
17,967522.1767,1935270.845
18,967522.9407,1935270.851
19,967523.6243,1935270.857
20,967524.348,1935270.863
21,967525.0316,1935270.869
22,967525.7956,1935270.875
23,967526.4791,1935270.88
24,967527.2029,1935270.886
25,967527.9267,1935270.892
26,967528.6906,1935270.898
27,967529.334,1935270.904
28,967530.098,1935270.91
29,967530.8217,1935270.916
30,967531.5053,1935270.921
31,967532.2693,1935270.928
32,967532.9126,1935270.933
33,967533.6766,1935270.939
34,967534.4004,1935270.945
35,967535.1643,1935270.951
36,967535.8479,1935270.957
37,967536.5717,1935270.963
38,967537.2552,1935270.968
39,967537.9388,1935270.974
40,967538.7028,1935270.98
41,967539.4265,1935270.986
42,967540.1101,1935270.991
43,967540.9143,1935270.998
44,967541.5978,1935271.004
45,967542.3618,1935271.01
46,967543.0454,1935271.015
47,967543.7691,1935271.021
48,967544.4527,1935271.027
49,967545.1765,1935271.033
50,967545.9404,1935271.039
51,967546.7044,1935271.045
52,967547.388,1935271.051
53,967548.1117,1935271.057
54,967548.8757,1935271.063
55,967549.5191,1935271.068
56,967550.283,1935271.074
57,967551.047,1935271.081
58,967551.7306,1935271.086
59,967552.4544,1935271.092
60,967553.1781,1935271.098
61,967553.9019,1935271.104
62,967554.6659,1935271.11
63,967555.3896,1935271.116
64,967556.1134,1935271.122
65,967556.797,1935271.127
66,967557.4805,1935271.133
67,967558.2043,1935271.139
68,967558.8878,1935271.144
69,967559.6116,1935271.15
70,967560.2952,1935271.156
71,967561.0189,1935271.162
72,967561.7427,1935271.168
73,967562.5067,1935271.174
74,967563.1902,1935271.18
75,967563.914,1935271.185
76,967564.6378,1935271.191
77,967565.3213,1935271.197
78,967566.0853,1935271.203
79,967566.7522,1935271.182
80,967567.4401,1935271.022
81,967568.0855,1935270.821
82,967568.822,1935270.592
83,967569.5029,1935270.395
84,967570.0115,1935270.172
85,967570.5916,1935269.774
86,967571.0999,1935269.299
87,967571.4813,1935268.735
88,967571.8007,1935268.121
89,967572.1138,1935267.498
90,967572.2905,1935266.853
91,967572.4286,1935266.115
92,967572.4899,1935265.422
93,967572.4823,1935264.803
94,967572.476,1935264.036
95,967572.4705,1935263.313
96,967572.465,1935262.589
97,967572.4598,1935261.906
98,967572.4543,1935261.182
99,967572.452,1935260.541
100,967572.4855,1935259.79
101,967572.5145,1935259.065
102,967572.5437,1935258.342
103,967572.5728,1935257.619
104,967572.6035,1935256.856
105,967572.6293,1935256.213
106,967572.66,1935255.45
107,967572.6891,1935254.727
108,967572.7182,1935254.004
109,967572.7473,1935253.281
110,967572.7748,1935252.598
111,967572.8039,1935251.875
112,967572.8362,1935251.071
113,967572.8621,1935250.428
114,967572.8358,1935249.735
115,967572.6489,1935249.062
116,967572.3292,1935248.537
117,967571.881,1935248.118
118,967571.3339,1935247.679
119,967570.7036,1935247.279
120,967570.1299,1935246.99
121,967569.4751,1935246.689
122,,
