,X,Y
0,967531.0255,1935304.687
1,967531.3343,1935303.224
2,967531.625,1935301.848
3,967531.9077,1935300.51
4,967532.2154,1935299.055
5,967532.5091,1935297.663
6,967532.7515,1935296.301
7,967533.0577,1935294.87
8,967533.3268,1935293.327
9,967533.6158,1935291.878
10,967533.8495,1935290.384
11,967533.9834,1935289.031
12,967534.1296,1935287.591
13,967534.2675,1935286.231
14,967534.4175,1935284.752
15,967534.5634,1935283.312
16,967534.7013,1935281.952
17,967534.8391,1935280.593
18,967534.9512,1935279.077
19,967535.0494,1935277.674
20,967535.1448,1935276.311
21,967535.2998,1935275.231
22,967535.9089,1935274.269
23,967536.8093,1935273.388
24,967538.0928,1935272.71
25,967539.4147,1935272.327
26,967540.7588,1935272.112
27,967542.2264,1935271.869
28,967543.5348,1935271.652
29,967544.9621,1935271.416
30,967546.381,1935271.2
31,967547.7658,1935271.084
32,967549.188,1935271.079
33,967550.5969,1935271.117
34,967552.0439,1935271.156
35,967553.4106,1935271.193
36,967554.8577,1935271.232
37,967556.2244,1935271.269
38,967557.7117,1935271.309
39,967559.1588,1935271.348
40,967560.6461,1935271.388
41,967562.053,1935271.426
42,967563.4599,1935271.464
43,967564.8657,1935271.5
44,967566.2703,1935271.383
45,967567.4494,1935270.879
46,967568.662,1935270.096
47,967569.6776,1935269.229
48,967570.6412,1935268.168
49,967571.2235,1935266.945
50,967571.6257,1935265.74
51,967571.8754,1935264.369
52,967572.0709,1935262.917
53,967572.1652,1935261.491
54,967572.2315,1935260.085
55,967572.2977,1935258.68
56,967572.3657,1935257.234
57,967572.4319,1935255.829
58,967572.4981,1935254.423
59,967572.5642,1935253.018
60,967572.6342,1935251.532
61,967572.7004,1935250.127
62,967572.6905,1935248.721
63,967572.205,1935247.449
64,967571.5597,1935246.29
65,967570.553,1935245.548
66,967569.3889,1935245.392
67,,
