,X,Y
0,967131.484531622,1935339.321135712
1,967133.2304791928,1935339.2576515
2,967135.3952479734,1935339.0751339376
3,967137.5183256246,1935338.8960942528
4,967139.6413701624,1935338.717061663
5,967141.8262305376,1935338.473260864
6,967143.9774924376,1935338.1866622677
7,967146.0495541329,1935337.9106749971
8,967148.1614519692,1935337.6293800976
9,967150.2733479184,1935337.348085164
10,967152.4649380656,1935337.0561753183
11,967154.5637946242,1935336.8035787567
12,967156.7204405344,1935336.9878357856
13,967158.7926530004,1935337.226191596
14,967160.9378197816,1935337.5626758856
15,967163.0806833062,1935337.900813076
16,967165.1458781584,1935338.224406161
17,967167.00027004,1935338.515258582
18,967167.5784096696,1935338.6060789896
