,X,Y
0,967095.4996127172,1935244.090304032
1,967094.6866963772,1935246.1971144264
2,967093.9194878968,1935248.185321364
3,967093.1524455268,1935250.1726766129
4,967092.3998720052,1935252.122763359
5,967091.6472957976,1935254.073017872
6,967090.8947195776,1935256.0232723716
7,967090.0987254872,1935258.0860415483
8,967089.331676628,1935260.0738009224
9,967088.5501551348,1935262.099065181
10,967087.7831062532,1935264.086824539
11,967086.943940915,1935266.075181977
12,967086.0789653008,1935268.0640894007
13,967085.2305682952,1935270.018561385
14,967084.4302037408,1935271.8624534016
15,967083.597824596,1935273.780101094
16,967082.7494381516,1935275.734626613
17,967081.901051696,1935277.6891521225
18,967081.0526652288,1935279.6436776228
19,967080.2042787526,1935281.5982031096
20,967079.3558922647,1935283.552728588
21,967078.4914984746,1935285.544131896
22,967077.6431119672,1935287.4986573544
23,967076.7947254486,1935289.453182798
24,967075.9303316254,1935291.44458607
25,967075.0659377904,1935293.4359893345
26,967074.2335585352,1935295.3536369104
27,967073.3852672988,1935297.308163828
28,967072.537082818,1935299.262692439
29,967071.6728948444,1935301.2540989416
30,967070.8407138244,1935303.171749631
31,967070.0085327936,1935305.08940031
32,967069.1443447848,1935307.0808067804
33,967068.280156773,1935309.072213236
34,967067.4479757084,1935310.9898638856
35,967066.56778419,1935313.0181482187
36,967065.7356037756,1935314.9357569043
37,967064.9194292648,1935316.8163351584
38,967064.071247896,1935318.770661579
39,967063.2230665204,1935320.724987987
40,967062.3748851332,1935322.67931438
41,967061.510700313,1935324.6705148448
42,967060.671299372,1935326.6233601416
43,967060.0014503816,1935328.5748862557
44,967059.4032927924,1935330.6588082772
45,967058.7917625236,1935332.7834907568
46,967058.4137723396,1935334.7705398807
47,967058.0754325022,1935336.8595692064
48,967057.7989218624,1935338.9736800515
49,967057.5122785976,1935341.1660180176
50,967057.230847012,1935343.3184952885
51,967056.959838802,1935345.391251176
52,967056.678407158,1935347.543730345
53,967056.4021872232,1935349.656346915
54,967056.1207555804,1935351.808824172
55,967055.8445356172,1935353.9214407287
56,967055.5578922448,1935356.113778672
57,967055.2868839812,1935358.186532628
58,967055.1192895324,1935360.3329168097
59,967055.1748839451,1935362.4752815869
60,967055.2933345996,1935364.579208286
61,967055.5901781324,1935366.6846798328
62,967055.8736854492,1935368.7151288905
63,967056.1780410432,1935370.8637888855
64,967056.5390908896,1935373.0366567443
65,967056.9046576804,1935375.1357013728
66,967057.2633500752,1935377.19510042
67,967057.6289403922,1935379.2941030003
68,967057.9945307114,1935381.3931046373
69,967058.367018871,1935383.531714576
70,967058.7295989152,1935385.6798651488
71,967058.7254838404,1935385.6949372457
