,X,Y
0,967533.2845532204,1935274.2620529253
1,967530.8316663384,1935274.2551719905
2,967528.8403403796,1935274.006376842
3,967526.6428582646,1935273.7568227863
4,967524.6492541138,1935273.5686869656
5,967522.453718486,1935273.4804340648
6,967520.446724434,1935273.4050167855
7,967518.4384008816,1935273.332614255
8,967516.2697082192,1935273.2544077665
9,967514.261659472,1935273.181994356
10,967512.0528058652,1935273.1023396072
11,967510.0447571448,1935273.0299261964
12,967508.0367084414,1935272.957512792
13,967505.827325101,1935272.890046696
14,967503.7777676836,1935272.816514438
15,967501.5779470672,1935272.7616723657
16,967499.5572137304,1935272.7385470571
17,967497.5567424909,1935272.7286891213
18,967495.3453462818,1935272.718637063
19,967493.334764258,1935272.7094952937
20,967491.1231240488,1935272.699439344
21,967489.1125420508,1935272.690297576
22,967486.9009018736,1935272.680241631
23,967484.8903199031,1935272.6710998605
24,967482.8797379484,1935272.6619580905
25,967480.6680978156,1935272.6519021431
26,967478.6575158864,1935272.642760372
27,967476.4458757812,1935272.632704423
28,967474.4352938844,1935272.623562652
29,967472.2236538092,1935272.61350671
30,967470.2167611836,1935272.598786641
31,967468.0546116402,1935272.389491276
32,967466.0648501852,1935272.1095456665
33,967464.0983964324,1935271.7244538907
34,967461.9923910808,1935271.300464084
35,967459.9324940898,1935271.2630990664
36,967457.714436044,1935271.416529903
37,967455.7183954704,1935271.628487036
38,967453.5217078928,1935271.8577749664
39,967450.8893950776,1935271.972653841
40,967448.7196711964,1935272.032008638
41,967446.0335337832,1935271.9037283512
42,967444.0332759127,1935271.8747505413
43,967442.0102562116,1935271.863015476
44,967439.8198856058,1935272.0117918449
45,967437.0205373648,1935272.1141395157
46,967435.0183058246,1935272.1535224556
47,967432.8081886724,1935272.1417363305
48,967430.221381303,1935272.008745166
49,967428.015984724,1935271.9266358928
50,967426.0077230268,1935271.854219101
51,967423.79887006,1935271.7745643675
52,967421.7989056124,1935271.7175966569
53,967419.7884809658,1935271.70818278
54,967417.576969983,1935271.6977093413
55,967415.5663945464,1935271.6881862725
56,967413.354761579,1935271.6777108929
57,967411.3441861696,1935271.668187816
58,967409.1325532316,1935271.6577124395
59,967407.1219778472,1935271.648189363
60,967405.1114024784,1935271.6386662892
61,967402.8997695864,1935271.6281909137
62,967400.8982838488,1935271.6035262116
63,967398.6899116096,1935271.5262666848
64,967396.6829653416,1935271.4900425763
65,967394.6728699872,1935271.4523037411
66,967392.4622806328,1935271.4107992288
67,967390.4529174038,1935271.373072056
68,967388.242617866,1935271.331572164
69,967386.2332546652,1935271.2938449895
70,967384.0229551614,1935271.2523450935
71,967382.0135919888,1935271.2146179231
72,967380.0042288292,1935271.176890752
73,967377.7939293678,1935271.1353908584
74,967375.7845662364,1935271.0976636824
75,967373.5742668046,1935271.0561637948
76,967371.5649037014,1935271.018436624
77,967368.8839244222,1935270.570200352
78,967366.4208505922,1935269.3707258976
79,967364.6255204714,1935267.4265301495
80,967364.2407054524,1935265.0148816716
81,967364.6980491972,1935262.898042512
82,967365.1502876512,1935260.9398519783
83,967365.6558466158,1935258.793863992
84,967366.471803504,1935256.3384190656
85,967367.0482910788,1935254.33201572
86,967367.130412842,1935254.044728036
