,X,Y
0,967139.7930144784,1935338.5041174972
1,967136.7224788868,1935339.1362760277
2,967133.9709585642,1935338.588099618
3,967131.2737235568,1935337.6218003435
4,967128.6437743474,1935336.6209503808
5,967126.0197820134,1935335.5711705375
6,967123.5708549372,1935334.0420819533
7,967121.9346647848,1935331.815396549
8,967120.8559475536,1935329.36752086
9,967120.5788308416,1935326.6421781403
10,967120.9196063556,1935323.8458138555
11,967121.714624684,1935321.101892064
12,967122.687872802,1935318.333779625
13,967123.6211967026,1935315.679133779
14,967124.5794482406,1935312.9490327388
15,967125.0633394404,1935310.2195681592
16,967125.23452004,1935307.449416109
17,967125.4105519633,1935304.6007887945
18,967125.0290128632,1935301.9100116608
19,967124.1968224304,1935299.1539389896
20,967123.1903775722,1935296.544811924
21,967122.157233783,1935293.927494356
22,967121.0797931338,1935291.1979659745
23,967120.0171119266,1935288.505828412
24,967118.998709084,1935285.9258632676
25,967117.9507872992,1935283.2711165396
26,967116.9028654952,1935280.616369831
27,967115.8697031352,1935277.9990139424
28,967114.807021832,1935275.3068764731
29,967113.7590999726,1935272.6521298224
30,967112.072992334,1935270.5043922155
31,967110.1094321216,1935268.4327710173
32,967107.8700706864,1935266.8143950405
33,967105.2365536497,1935265.8185043044
34,967102.7465801268,1935264.6861935493
35,967100.0752831472,1935263.4714961955
36,967097.4405755344,1935262.273438497
37,967094.952240584,1935261.1419395693
38,967092.4392751592,1935259.8966971396
39,967091.1512005912,1935257.541633588
40,967091.4154399903,1935254.8507767413
41,967092.2726617004,1935252.187359524
42,967093.3526001816,1935249.534477024
43,967094.6578000198,1935247.060655724
44,967095.9580482368,1935244.4923216212
45,967096.2174423065,1935243.9323671649
