,X,Y
0,967131.474855952,1935339.319795444
1,967134.4970243386,1935339.3681294029
2,967137.5115216504,1935339.4164327076
3,967140.5261072268,1935339.464737416
4,967143.5220181296,1935339.0437292145
5,967146.4045201736,1935338.1631769985
6,967149.2879692736,1935337.282311853
7,967152.1665397688,1935336.419081061
8,967155.1745868952,1935336.499963506
9,967158.1518558332,1935336.974930073
10,967161.1291994816,1935337.4499969983
11,967164.0852310436,1935337.9996270405
12,967167.0461847692,1935338.5676806977
13,967167.6567669752,1935338.6851397688
