,X,Y
0,967568.8906,1935246.329
1,967571.9762,1935248.931
2,967572.4118,1935252.95
3,967572.4925,1935256.963
4,967572.5139,1935260.984
5,967572.5353,1935265.004
6,967572.081,1935269.042
7,967569.2519,1935271.889
8,967565.5989,1935273.583
9,967561.5961,1935273.855
10,967557.5787,1935273.847
11,967553.5579,1935273.809
12,967549.4968,1935273.77
13,967545.476,1935273.732
14,967541.4551,1935273.694
15,967537.4343,1935273.656
16,967533.4134,1935273.618
17,967529.3926,1935273.58
18,967525.3717,1935273.541
19,967521.3509,1935273.503
20,967517.33,1935273.465
21,967513.3498,1935272.84
22,967510.8079,1935269.692
23,967510.6524,1935269.395
