,X,Y
0,967512.2705,1935270.988
1,967516.271,1935271.521
2,967520.275,1935271.749
3,967524.2874,1935271.898
4,967528.3068,1935272.004
5,967532.3266,1935272.11
6,967536.3464,1935272.216
7,967540.3637,1935272.318
8,967544.382,1935272.354
9,967548.4029,1935272.391
10,967552.4237,1935272.429
11,967556.4446,1935272.466
12,967560.4654,1935272.503
13,967564.4879,1935272.472
14,967568.0168,1935270.511
15,967570.9978,1935267.819
16,967572.0531,1935263.956
17,967572.0865,1935259.942
18,967572.2085,1935255.925
19,967572.3305,1935251.907
20,967570.9082,1935248.141
21,,
