,X,Y
0,967533.400648938,1935274.0016455555
1,967528.6900667156,1935273.9318609228
2,967524.47606165,1935273.9292780936
3,967520.4546450592,1935273.926826157
4,967516.2321271666,1935273.9242526595
5,967512.0096093304,1935273.9216791615
6,967507.7870336688,1935273.9457262852
7,967503.589919483,1935273.955449405
8,967499.3442650584,1935273.9706695185
9,967495.32283691,1935273.970879539
10,967491.1003054082,1935273.9710976416
11,967486.877775305,1935273.9712318568
12,967482.6727587912,1935273.9024213864
13,967478.4610130866,1935273.6277779168
14,967474.5520709888,1935271.780192481
15,967473.1870754288,1935268.638023579
