,X,Y
0,967568.8372409582,1935246.3259313635
1,967573.0214669532,1935249.3876645835
2,967572.3832558334,1935254.940579848
3,967572.2910581076,1935260.004735344
4,967571.7131117588,1935265.6819011045
5,967569.0408245058,1935270.5551847368
6,967564.0180404852,1935273.198091202
7,967558.455957574,1935274.5673343583
8,967552.802196724,1935274.116186244
9,967547.7214637832,1935273.6180544265
10,967542.6887969372,1935273.7169499712
11,967537.3898050286,1935274.8207279465
12,967534.5007480552,1935279.57037974
13,967533.2077353626,1935284.482703883
14,967532.506574773,1935289.5205298848
15,967531.4643192148,1935294.5987972035
16,967527.1229256134,1935297.9791570432
17,967522.1587876732,1935298.7217299812
18,967517.0767976904,1935298.6703315985
19,967511.371382485,1935298.538993582
20,967506.3058940556,1935298.4419682932
21,967501.2404057112,1935298.344943004
22,967496.2151201052,1935298.248664885
23,967491.1496319284,1935298.1516395956
24,967486.124346122,1935298.0553843563
25,967481.0990603992,1935297.9591291132
26,967476.0331179576,1935297.87914506
27,967470.3832113396,1935297.3872560677
28,967465.2952594894,1935296.639414809
29,967460.2218712692,1935295.921630832
30,967454.51637636,1935295.5271883416
31,967449.4165966132,1935295.3035497528
32,967443.6821758476,1935295.280776038
33,967438.2507233246,1935295.887175819
34,967433.3203308538,1935297.4707944884
35,967428.0061576472,1935299.422412752
36,967422.4347712296,1935299.8626054523
37,967417.336085552,1935299.7350506063
38,967412.2957116432,1935299.7796643984
39,967407.2924488522,1935299.64941888
40,967402.79986241,1935302.1300170787
41,967401.489745516,1935303.917308066
