,X,Y
0,967200.765,1935423.735
1,967198.7694,1935418.122
2,967196.8437,1935412.705
3,967194.8225,1935407.301
4,967192.3435,1935402.13
5,967189.4854,1935397.115
6,967186.5735,1935392.02
7,967183.7016,1935386.994
8,967180.8895,1935382.072
9,967178.0574,1935377.116
10,967175.515,1935372.043
11,967174.3651,1935366.455
12,967173.8359,1935360.717
13,967173.2637,1935355.12
14,967169.6889,1935350.161
15,967164.4825,1935347.942
16,967159.2823,1935345.687
17,967153.8978,1935343.351
18,967148.6609,1935341.08
19,967143.3871,1935338.792
20,,
