,X,Y
0,967061.2137,1935384.764
1,967065.5682,1935385.901
2,967070.0663,1935385.37
3,967073.9443,1935383.081
4,967077.4694,1935380.28
5,967080.9946,1935377.479
6,967084.5512,1935374.653
7,967088.1078,1935371.827
8,967091.633,1935369.026
9,967095.1582,1935366.225
10,967098.7155,1935363.398
11,967102.1015,1935360.405
12,967105.3913,1935357.332
13,967108.6306,1935354.188
14,967110.835,1935350.257
15,967112.8945,1935346.253
16,967114.9538,1935342.25
17,967117.9429,1935338.87
18,967122.3833,1935338.106
19,967126.923,1935337.942
20,967131.4224,1935337.779
21,967135.9218,1935337.617
22,967140.1832,1935337.756
