,timeline,x,y
0,20:41:18,967187.9539164077,1935339.457577899
1,20:41:19,967187.9539164077,1935339.457577899
2,20:41:19,967187.8763596229,1935339.5538123734
3,20:41:19,967187.7172789157,1935339.6524592624
4,20:41:20,967187.4455471176,1935339.8395617632
5,20:41:20,967186.9759724324,1935340.1806713766
6,20:41:20,967186.4499956156,1935340.5642321748
7,20:41:21,967185.8674077886,1935340.9894704004
8,20:41:21,967185.3118349138,1935341.4280797471
9,20:41:21,967184.8040361842,1935341.9164710524
10,20:41:22,967184.354131181,1935342.4375739826
11,20:41:22,967183.9702175632,1935343.0231963715
12,20:41:23,967183.5652853166,1935343.6250899918
13,20:41:23,967183.1836668373,1935344.1920909905
14,20:41:23,967182.7796917467,1935344.7923178899
15,20:41:24,967182.353207762,1935345.4259932928
16,20:41:24,967181.9940668811,1935345.9595948618
17,20:41:24,967181.5792362217,1935346.593406304
18,20:41:25,967181.2840745313,1935347.1765826594
19,20:41:25,967180.938272771,1935347.8618838356
20,20:41:25,967180.6487562853,1935348.4354492682
21,20:41:26,967180.3044845163,1935349.1173613057
22,20:41:26,967179.9783337959,1935349.763302563
23,20:41:26,967179.6521833164,1935350.4092285687
24,20:41:27,967179.3622683065,1935350.9833902593
25,20:41:27,967179.0179942668,1935351.6652050004
26,20:41:28,967178.6737202561,1935352.3470178344
27,20:41:28,967178.3838052427,1935352.9211795225
28,20:41:28,967178.0576508852,1935353.5671092714
29,20:41:29,967177.7133768402,1935354.2489240088
30,20:41:29,967177.4234580729,1935354.823081816
31,20:41:29,967177.0794760614,1935355.5047600828
32,20:41:30,967176.828330344,1935356.1124252814
33,20:41:30,967176.5712055113,1935356.7887344423
34,20:41:30,967176.3127316826,1935357.463534667
35,20:41:31,967176.0394384393,1935358.177018506
36,20:41:31,967175.8094008296,1935358.777639891
37,20:41:31,967175.5362215913,1935359.4909100535
38,20:41:32,967175.2774201194,1935360.1666451963
39,20:41:32,967175.0329965343,1935360.8048376974
40,20:41:32,967174.7885729796,1935361.4430282924
41,20:41:33,967174.5297715047,1935362.1187634366
42,20:41:33,967174.3071953909,1935362.752580335
43,20:41:34,967174.1665977355,1935363.4646327659
44,20:41:34,967174.032169951,1935364.177953409
45,20:41:34,967173.9857007712,1935364.8586602313
46,20:41:35,967174.065081012,1935365.493645559
47,20:41:35,967174.1961726261,1935366.227421216
48,20:41:35,967174.3622519224,1935366.8796546336
49,20:41:36,967174.54476416,1935367.6217686057
50,20:41:36,967174.7178857435,1935368.324656
51,20:41:36,967174.8716461242,1935368.9491010187
52,20:41:37,967175.0396424289,1935369.6078878243
53,20:41:37,967175.2868251577,1935370.303021659
54,20:41:37,967175.5068042926,1935370.9092323128
55,20:41:38,967175.8063594673,1935371.530203398
56,20:41:38,967176.1542254721,1935372.2132354975
57,20:41:39,967176.5268233214,1935372.8566310634
58,20:41:39,967176.8762638074,1935373.4472833544
59,20:41:39,967177.2440408529,1935374.069604783
60,20:41:40,967177.6326670863,1935374.727236258
61,20:41:40,967177.9803592982,1935375.3155866144
62,20:41:40,967178.3484963113,1935375.938534994
63,20:41:41,967178.7166370421,1935376.561489386
64,20:41:41,967179.0847778339,1935377.1844399646
65,20:41:41,967179.4324663592,1935377.772782173
66,20:41:42,967179.8415116644,1935378.4649504675
67,20:41:42,967180.1482956242,1935378.9840780597
68,20:41:42,967180.5368886375,1935379.6416395293
69,20:41:43,967180.9254816619,1935380.299200419
70,20:41:43,967181.2322656235,1935380.818327587
71,20:41:44,967181.6208586359,1935381.475889
72,20:41:44,967181.988999383,1935382.0988419792
73,20:41:44,967182.3366878827,1935382.6871853853
74,20:41:45,967182.7048286638,1935383.3101362188
75,20:41:45,967183.0525171825,1935383.8984784405
76,20:41:45,967183.4411102058,1935384.5560388474
77,20:41:46,967183.8092509145,1935385.1789939767
78,20:41:46,967184.1773916228,1935385.801949108
79,20:41:46,967184.5046278083,1935386.3556870008
80,20:41:47,967184.9136730471,1935387.0478588976
81,20:41:47,967185.2613614828,1935387.6362058949
82,20:41:47,967185.6499544485,1935388.2937696453
83,20:41:48,967185.9976428942,1935388.8821161676
84,20:41:48,967186.3657835957,1935389.5050713073
85,20:41:49,967186.6823291382,1935390.0928140082
86,20:41:49,967187.011247465,1935390.7760754374
87,20:41:49,967187.309997063,1935391.3901533335
88,20:41:50,967187.6442674123,1935392.0771814482
89,20:41:50,967187.9608373686,1935392.7277997776
90,20:41:50,967188.2774065938,1935393.3784638585
91,20:41:51,967188.5939606421,1935394.0291229344
92,20:41:51,967188.8929283669,1935394.6436333843
93,20:41:51,967189.2270687671,1935395.3304391801
94,20:41:52,967189.526036492,1935395.9449496348
95,20:41:52,967189.8425905488,1935396.595607762
96,20:41:52,967190.1415580137,1935397.21013442
97,20:41:53,967190.4756981176,1935397.896958338
98,20:41:53,967190.7922519019,1935398.5476336265
99,20:41:54,967191.0912193614,1935399.162160291
100,20:41:54,967191.4077731431,1935399.812835583
101,20:41:54,967191.7243269257,1935400.463510878
102,20:41:55,967192.0232943823,1935401.0780375488
103,20:41:55,967192.3398481599,1935401.7287128407
104,20:41:55,967192.6388156146,1935402.3432395137
105,20:41:56,967192.955369392,1935402.9939148128
106,20:41:56,967193.2710507012,1935403.6442920757
107,20:41:56,967193.5549685407,1935404.333023936
108,20:41:57,967193.7877176618,1935404.9645606945
109,20:41:57,967194.0014895981,1935405.6063217353
110,20:41:57,967194.2131907319,1935406.333070839
111,20:41:58,967194.418491842,1935407.027028447
112,20:41:58,967194.6123997802,1935407.6824894175
113,20:41:59,967194.817657319,1935408.376309034
114,20:41:59,967195.0229291667,1935409.070187997
115,20:41:59,967195.2510049278,1935409.8411539572
116,20:42:00,967195.4334655341,1935410.457926732
117,20:42:00,967195.6387337162,1935411.1517961062
118,20:42:00,967195.8554056842,1935411.8842137738
119,20:42:01,967196.06174283,1935412.5765803067
120,20:42:01,967196.2888606208,1935413.2554045331
121,20:42:01,967196.4978258561,1935413.8582055753
122,20:42:02,967196.7830256135,1935414.5543321825
123,20:42:02,967197.0384094109,1935415.1888191954
124,20:42:02,967197.3237538439,1935415.8974121734
125,20:42:03,967197.5940267093,1935416.5685750388
126,20:42:03,967197.8342959842,1935417.165215532
127,20:42:04,967198.1045952328,1935417.8363978923
128,20:42:04,967198.3899110418,1935418.5448721899
129,20:42:04,967198.6556916146,1935419.1645206504
130,20:42:05,967198.9582469827,1935419.8181385975
131,20:42:05,967199.243733359,1935420.438806544
132,20:42:05,967199.5630021374,1935421.1328518433
133,20:42:06,967199.8485929088,1935421.7536701958
134,20:42:06,967200.1678146686,1935422.4475545634
135,20:42:06,967200.4534547626,1935423.0683889615
136,20:42:07,967200.7558973402,1935423.7257351868
137,20:42:07,967200.920968196,1935424.0852303086
138,20:42:07,967200.9145082908,1935424.0712826895
139,20:42:08,967200.9158059463,1935424.0740990003
140,20:42:08,967200.91564291,1935424.0737989186
141,20:42:09,967200.915627782,1935424.073791049
