,timeline,x,y
0,20:05:39,967568.8241,1935246.327
10,20:05:43,967572.4631,1935248.799
20,20:05:46,967572.8151,1935255.675
30,20:05:50,967572.4458,1935262.825
40,20:05:53,967571.5342,1935269.746
50,20:05:57,967566.0041,1935273.569
60,20:06:00,967558.9697,1935274.012
70,20:06:04,967551.774,1935274.147
80,20:06:08,967544.6443,1935274.069
90,20:06:11,967537.4875,1935273.981
100,20:06:15,967530.2906,1935273.892
101,20:06:15,967529.5669,1935273.883
102,20:06:15,967528.8432,1935273.873
103,20:06:16,967528.1596,1935273.865
104,20:06:16,967527.4359,1935273.856
105,20:06:16,967526.7122,1935273.847
106,20:06:17,967525.9885,1935273.838
107,20:06:17,967525.2648,1935273.829
108,20:06:18,967524.5813,1935273.82
109,20:06:18,967523.8173,1935273.81
110,20:06:18,967523.0936,1935273.801
111,20:06:19,967522.4101,1935273.793
112,20:06:19,967521.6864,1935273.784
113,20:06:19,967520.9225,1935273.774
114,20:06:20,967520.2791,1935273.766
115,20:06:20,967519.5152,1935273.756
116,20:06:20,967518.8317,1935273.748
117,20:06:21,967518.1884,1935273.74
118,20:06:21,967517.4245,1935273.73
119,20:06:21,967516.6606,1935273.72
120,20:06:22,967515.977,1935273.712
121,20:06:22,967515.2533,1935273.703
122,20:06:22,967514.5425,1935273.675
123,20:06:23,967513.8934,1935273.531
124,20:06:23,967513.3625,1935273.299
125,20:06:24,967512.8822,1935272.859
126,20:06:24,967512.3755,1935272.345
127,20:06:24,967511.8798,1935271.86
128,20:06:25,967511.4386,1935271.375
129,20:06:25,967510.9504,1935270.759
130,20:06:25,967510.6965,1935270.316
