,x,y,goal x,goal y,waypoint,current distance,obstacle distance,obstacle angle,heading,yaw,goal angle
0,967568.880565859,1935246.3279639785,967568.8241,1935246.327,0,0.06,3.5,0,-0.003,-3.1219022913722427,-3.124522430067656
1,967568.880565859,1935246.3279639785,967572.4631,1935248.799,1,4.35,3.5,0,-2.557,-3.1219022913722427,0.6038103962683631
2,967568.880565859,1935246.3279639785,967572.4631,1935248.799,1,4.35,3.5,0,-2.557,-3.1219022913722427,0.6038103962683631
3,967568.8808372372,1935246.328166629,967572.4631,1935248.799,1,4.35,3.5,0,-2.557,-3.1219022913722427,0.6038074702155131
4,967568.8816721612,1935246.3293851465,967572.4631,1935248.799,1,4.35,3.5,0,-2.56,-3.119750739137833,0.6036858698559785
5,967568.8859973155,1935246.331772935,967572.4631,1935248.799,1,4.35,3.5,0,-2.567,-3.1127891523127307,0.6037985309995719
6,967568.8910577247,1935246.3339741088,967572.4631,1935248.799,1,4.34,3.5,0,-2.572,-3.1067373752171505,0.6040430440091002
7,967568.9010494859,1935246.3388168265,967572.4631,1935248.799,1,4.33,3.5,0,-2.585,-3.0938858989216973,0.6044332651803325
8,967568.9157030215,1935246.3440694262,967572.4631,1935248.799,1,4.31,3.5,0,-2.598,-3.0794548973134823,0.6053617688964956
9,967568.9268689998,1935246.3479849815,967572.4631,1935248.799,1,4.3,3.5,0,-2.608,-3.0687592014273988,0.6060902488052927
10,967568.9445217885,1935246.354582108,967572.4631,1935248.799,1,4.28,3.5,0,-2.617,-3.059389113172659,0.6071718634267377
11,967568.9624043838,1935246.3601607499,967572.4631,1935248.799,1,4.27,3.5,0,-2.636,-3.0388011932447143,0.6084894200010087
12,967568.9790207634,1935246.3666955966,967572.4631,1935248.799,1,4.25,3.5,0,-2.65,-3.0239603498703933,0.6094629130565329
13,967568.9897821698,1935246.3711081508,967572.4631,1935248.799,1,4.24,3.5,0,-2.655,-3.018616203320297,0.6100627639133682
14,967569.0061020144,1935246.377104323,967572.4631,1935248.799,1,4.22,3.5,0,-2.673,-2.9992234708431376,0.6111135733264892
15,967569.0216507526,1935246.383622164,967572.4631,1935248.799,1,4.2,3.5,0,-2.686,-2.985196824899885,0.6119658503501934
16,967569.0370357941,1935246.3908391695,967572.4631,1935248.799,1,4.19,3.5,0,-2.695,-2.9750681053270527,0.6126657740549212
17,967569.0529827862,1935246.3972565709,967572.4631,1935248.799,1,4.17,3.5,0,-2.709,-2.9604697279916636,0.6136056278762143
18,967569.0689488639,1935246.4043912974,967572.4631,1935248.799,1,4.15,3.5,0,-2.716,-2.952701325967384,0.6144146095853319
19,967569.0797359163,1935246.4091093794,967572.4631,1935248.799,1,4.14,3.5,0,-2.724,-2.944348100408602,0.6149851430491253
20,967569.0963408785,1935246.4163610707,967572.4631,1935248.799,1,4.12,3.5,0,-2.745,-2.922593106607697,0.6158718117002666
21,967569.1126976779,1935246.4238681681,967572.4631,1935248.799,1,4.11,3.5,0,-2.756,-2.9103465035485163,0.6166804598638435
22,967569.1294219857,1935246.4312895765,967572.4631,1935248.799,1,4.09,3.5,0,-2.763,-2.9023888112036578,0.6175652283247351
23,967569.1458414946,1935246.438690879,967572.4631,1935248.799,1,4.07,3.5,0,-2.774,-2.890798822357126,0.6184184095982875
24,967569.162444513,1935246.4460645898,967572.4631,1935248.799,1,4.05,3.5,0,-2.783,-2.881044150673369,0.619310849818803
25,967569.1789497044,1935246.453833397,967572.4631,1935248.799,1,4.04,3.5,0,-2.796,-2.8674614365413174,0.6201174026839911
26,967569.1900044876,1935246.4589829042,967572.4631,1935248.799,1,4.02,3.5,0,-2.802,-2.860756387783896,0.6206725245950213
27,967569.2066975606,1935246.4664495904,967572.4631,1935248.799,1,4.01,3.5,0,-2.807,-2.854326744760229,0.621579836467241
28,967569.2233886922,1935246.4740382866,967572.4631,1935248.799,1,3.99,3.5,0,-2.812,-2.8483898806053864,0.6224701606109536
29,967569.2290255208,1935246.4764469713,967572.4631,1935248.799,1,3.98,3.5,0,-2.817,-2.84304262660054,0.6228040941252778
30,967569.2513466805,1935246.4868714104,967572.4631,1935248.799,1,3.96,3.5,0,-2.83,-2.8288435845348663,0.6239546019658446
31,967569.2679375496,1935246.4950077198,967572.4631,1935248.799,1,3.94,3.5,0,-2.835,-2.823294650500802,0.6247390169146769
32,967569.2791111959,1935246.500357454,967572.4631,1935248.799,1,3.93,3.5,0,-2.84,-2.817799321599365,0.6252982315838859
